Date,Close,High,Low,Open
2021-05-05,0.0003819999983534217,0.0004220000118948519,0.0003370000049471855,0.00036899998667649925
2021-05-06,0.00036899998667649925,0.00041000000783242285,0.00036100001307204366,0.0003819999983534217
2021-05-07,0.00036899998667649925,0.0003910000086762011,0.00033400001120753586,0.00036899998667649925
2021-05-08,0.00033999999868683517,0.00039400000241585076,0.00033000000985339284,0.0003699999942909926
2021-05-09,0.00036800000816583633,0.0005300000193528831,0.00033400001120753586,0.00033999999868683517
2021-05-10,0.0003260000084992498,0.000455000001238659,0.000295000005280599,0.00036800000816583633
2021-05-11,0.000299000006634742,0.0003490000090096146,0.000291000003926456,0.0003260000084992498
2021-05-12,0.0002629999944474548,0.00031900001340545714,0.0002629999944474548,0.000299000006634742
2021-05-13,0.00023700000019744039,0.00026500000967644155,0.0002300000051036477,0.0002610000083222985
2021-05-14,0.0003260000084992498,0.0003279999946244061,0.00023600000713486224,0.00023700000019744039
2021-05-15,0.0003800000122282654,0.0004830000107176602,0.0002809999859891832,0.00033099998836405575
2021-05-16,0.00031599999056197703,0.00043899999582208693,0.0002899999963119626,0.0003809999907389283
2021-05-17,0.00028199999360367656,0.0003169999981764704,0.00027600000612437725,0.00031599999056197703
2021-05-18,0.0002840000088326633,0.00030899999546818435,0.0002730000123847276,0.00028199999360367656
2021-05-19,0.00018899999849963933,0.00028700000257231295,0.00017299999308306724,0.0002840000088326633
2021-05-20,0.00020199999562464654,0.0002280000044265762,0.00017800000205170363,0.0001880000054370612
2021-05-21,0.00016399999731220305,0.00021499999274965376,0.00014800000644754618,0.00020300000323913991
2021-05-22,0.00018200000340584666,0.0002300000051036477,0.0001500000071246177,0.00016399999731220305
2021-05-23,0.0001500000071246177,0.00019799999427050352,0.00013299999409355223,0.00018200000340584666
2021-05-24,0.00017699999443721026,0.00018600000475998968,0.00014699999883305281,0.00015100000018719584
2021-05-25,0.0001740000006975606,0.0001829999964684248,0.00015999999595806003,0.00017699999443721026
2021-05-26,0.00018099999579135329,0.0001880000054370612,0.0001720000000204891,0.0001740000006975606
2021-05-27,0.00017600000137463212,0.0001829999964684248,0.00017100000695791095,0.00018099999579135329
2021-05-28,0.00015100000018719584,0.00017600000137463212,0.0001500000071246177,0.00017600000137463212
2021-05-29,0.00014099999680183828,0.00015999999595806003,0.00013600000238511711,0.00015199999324977398
2021-05-30,0.00014899999951012433,0.00015199999324977398,0.00013499999477062374,0.00014099999680183828
2021-05-31,0.00015500000154133886,0.00015999999595806003,0.00014400000509340316,0.00014899999951012433
2021-06-01,0.00014600000577047467,0.00015999999595806003,0.00014600000577047467,0.00015500000154133886
2021-06-02,0.0001500000071246177,0.00015999999595806003,0.0001449999981559813,0.00014600000577047467
2021-06-03,0.00016399999731220305,0.00017499999376013875,0.00014899999951012433,0.0001500000071246177
2021-06-04,0.00014800000644754618,0.00016399999731220305,0.00014000000373926014,0.00016399999731220305
2021-06-05,0.00014000000373926014,0.0001539999939268455,0.00013899999612476677,0.00014800000644754618
2021-06-06,0.00014099999680183828,0.00014400000509340316,0.00013899999612476677,0.00014000000373926014
2021-06-07,0.0001340000017080456,0.00014699999883305281,0.0001340000017080456,0.00014099999680183828
2021-06-08,0.00012399999832268804,0.00013499999477062374,0.00011200000153621659,0.0001340000017080456
2021-06-09,0.00012099999730708078,0.00012599999899975955,0.00011800000356743112,0.00012399999832268804
2021-06-10,0.00011200000153621659,0.0001230000052601099,0.00011000000085914508,0.00012099999730708078
2021-06-11,0.00010399999882793054,0.00011300000187475234,0.00010099999781232327,0.00011200000153621659
2021-06-12,9.699999645818025e-05,0.00010399999882793054,8.70000003487803e-05,0.00010399999882793054
2021-06-13,0.00011000000085914508,0.0001250000059371814,9.100000170292333e-05,9.699999645818025e-05
2021-06-14,0.00011999999696854502,0.00012599999899975955,0.00011000000085914508,0.00011000000085914508
2021-06-15,0.00011600000289035961,0.00011800000356743112,0.00010800000018207356,0.00011300000187475234
2021-06-16,0.00010399999882793054,0.00011200000153621659,0.00010299999848939478,0.00011000000085914508
2021-06-17,0.00010599999950500205,0.00011000000085914508,0.00010299999848939478,0.00010399999882793054
2021-06-18,9.999999747378752e-05,0.00010699999984353781,9.899999713525176e-05,0.00010599999950500205
2021-06-19,9.899999713525176e-05,0.00010199999815085903,9.699999645818025e-05,9.899999713525176e-05
2021-06-20,0.00013099999341648072,0.0003330000035930425,9.500000305706635e-05,9.899999713525176e-05
2021-06-21,0.00010299999848939478,0.00015799999528098851,9.600000339560211e-05,0.00013099999341648072
2021-06-22,8.900000102585182e-05,0.00011200000153621659,8.499999967170879e-05,0.00010299999848939478
2021-06-23,9.500000305706635e-05,0.00010099999781232327,8.800000068731606e-05,8.900000102585182e-05
